id,package_name,av. rating,total_reviews,total_sentences,# IG,IG,# IS,IS,# PD,PD,# FR,FR,# O,O,App,GUI,Contents,Pricing,Feature/Functionality,Improvement,Update/Version,Resources,Security,Download,Model,Company,Other,#PD_App,PD + App,#PD_GUI,PD + GUI,#PD_Contents,PD + Contents,#PD_Pricing,PD + Pricing,#PD_Feature/Functionality,PD + Feature/Functionality,#PD_Improvement,PD + Improvement,#PD_Update/Version,PD + Update/Version,#PD_Resources,PD + Resources,#PD_Security,PD + Security,#PD_Download,PD + Download,#PD_Model,PD + Model,#PD_Company,PD + Company,#PD_Other,PD + Other,#FR_App,FR + App,#FR_GUI,FR + GUI,#FR_Contents,FR + Contents,#FR_Pricing,FR + Pricing,#FR_Feature/Functionality,FR + Feature/Functionality,#FR_Improvement,FR + Improvement,#FR_Update/Version,FR + Update/Version,#FR_Resources,FR + Resources,#FR_Security,FR + Security,#FR_Download,FR + Download,#FR_Model,FR + Model,#FR_Company,FR + Company,#FR_Other,FR + Other
93,com.ghostsq.commander,4.292682927,41,128,3,0.073170732,0,0,4,0.097560976,7,0.170731707,114,2.780487805,18,10,3,4,52,2,5,1,1,0,6,0,66,3,0.073170732,0,0,0,0,0,0,3,0.073170732,0,0,1,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,1,0.024390244,0,0,0,0,1,0.024390244,7,0.170731707,0,0,1,0.024390244,0,0,0,0,0,0,1,0.024390244,0,0,0,0
95,com.namelessdev.mpdroid,4.722689076,119,339,39,0.327731092,7,0.058823529,16,0.134453782,10,0.084033613,267,2.243697479,87,57,23,7,179,12,18,0,1,1,32,0,90,7,0.058823529,4,0.033613445,2,0.016806723,1,0.008403361,14,0.117647059,0,0,2,0.016806723,0,0,0,0,0,0,0,0,0,0,1,0.008403361,1,0.008403361,5,0.042016807,2,0.016806723,0,0,8,0.067226891,0,0,0,0,0,0,0,0,1,0.008403361,1,0.008403361,0,0,1,0.008403361
96,com.namelessdev.mpdroid,4.315217391,92,245,10,0.108695652,3,0.032608696,17,0.184782609,25,0.27173913,190,2.065217391,55,37,10,4,138,6,7,4,2,1,26,0,65,6,0.065217391,0,0,1,0.010869565,0,0,11,0.119565217,0,0,1,0.010869565,0,0,0,0,0,0,5,0.054347826,0,0,2,0.02173913,5,0.054347826,6,0.065217391,4,0.043478261,0,0,23,0.25,1,0.010869565,1,0.010869565,2,0.02173913,1,0.010869565,0,0,3,0.032608696,0,0,0,0
100,com.byagowi.persiancalendar,4.390243902,41,54,1,0.024390244,0,0,3,0.073170732,3,0.073170732,47,1.146341463,14,3,3,0,11,0,2,0,0,0,2,0,31,2,0.048780488,0,0,1,0.024390244,0,0,2,0.048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.024390244,1,0.024390244,1,0.024390244,0,0,2,0.048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,com.byagowi.persiancalendar,4.626168224,107,146,6,0.056074766,1,0.009345794,2,0.018691589,3,0.028037383,134,1.252336449,25,5,1,0,28,1,3,0,0,0,7,0,98,2,0.018691589,0,0,0,0,0,0,2,0.018691589,0,0,0,0,0,0,0,0,0,0,1,0.009345794,0,0,0,0,1,0.009345794,0,0,1,0.009345794,0,0,2,0.018691589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,com.fsck.k9,3.611428571,175,443,36,0.205714286,10,0.057142857,56,0.32,23,0.131428571,318,1.817142857,120,51,9,6,257,14,23,3,20,4,26,1,130,24,0.137142857,7,0.04,4,0.022857143,0,0,46,0.262857143,1,0.005714286,3,0.017142857,0,0,4,0.022857143,3,0.017142857,4,0.022857143,1,0.005714286,4,0.022857143,6,0.034285714,7,0.04,0,0,0,0,22,0.125714286,0,0,3,0.017142857,0,0,2,0.011428571,0,0,1,0.005714286,0,0,1,0.005714286
109,com.fsck.k9,3.732394366,213,543,41,0.192488263,12,0.056338028,49,0.230046948,34,0.159624413,407,1.910798122,163,75,19,9,300,10,33,1,31,8,41,5,139,22,0.103286385,6,0.028169014,3,0.014084507,0,0,43,0.201877934,0,0,5,0.023474178,1,0.004694836,7,0.03286385,1,0.004694836,3,0.014084507,3,0.014084507,4,0.018779343,10,0.046948357,6,0.028169014,0,0,0,0,30,0.14084507,1,0.004694836,2,0.009389671,0,0,1,0.004694836,1,0.004694836,4,0.018779343,1,0.004694836,2,0.009389671
110,com.fsck.k9,3.536779324,503,1347,118,0.234592445,21,0.041749503,143,0.284294235,67,0.133200795,998,1.984095427,396,170,57,24,824,28,76,9,82,7,113,6,311,42,0.083499006,17,0.033797217,9,0.017892644,1,0.001988072,129,0.256461233,2,0.003976143,9,0.017892644,0,0,15,0.029821074,1,0.001988072,10,0.019880716,0,0,7,0.013916501,28,0.055666004,14,0.027833002,1,0.001988072,2,0.003976143,59,0.117296223,2,0.003976143,6,0.011928429,1,0.001988072,3,0.005964215,0,0,2,0.003976143,1,0.001988072,4,0.007952286
112,org.dmfs.tasks,3.701754386,57,157,18,0.315789474,4,0.070175439,14,0.245614035,18,0.315789474,103,1.807017544,49,44,10,1,106,3,8,0,1,1,9,0,30,3,0.052631579,4,0.070175439,2,0.035087719,0,0,12,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01754386,7,0.122807018,12,0.210526316,1,0.01754386,0,0,17,0.298245614,1,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01754386
113,org.dmfs.tasks,4.047619048,42,105,10,0.238095238,3,0.071428571,6,0.142857143,10,0.238095238,76,1.80952381,28,16,6,4,63,3,4,0,1,0,3,0,29,1,0.023809524,0,0,0,0,0,0,6,0.142857143,0,0,0,0,0,0,0,0,0,0,1,0.023809524,0,0,0,0,0,0,2,0.047619048,2,0.047619048,1,0.023809524,9,0.214285714,1,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
