id,package_name,version_code,release_date,cat
546,com.pilockerstable,3.0,October 20 2014,Personalization
548,com.yassirh.digitalocean,2.1.2,January 03 2016,Productivity
557,de.blinkt.openvpn,0.6.52,April 17 2016,Communication
558,de.blinkt.openvpn,0.6.54,May 07 2016,Communication
559,de.blinkt.openvpn,0.6.57,August 02 2016,Communication
563,it.iiizio.epubator,0.12,September 06 2015,Books & Reference
572,com.jefftharris.passwdsafe,5.2.0,February 11 2015,Productivity
582,com.harleensahni.android.mbr,1.5.1,May 22 2014,Music & Audio
590,com.morlunk.mumbleclient,3.2.0,October 28 2014,Communication
593,org.transdroid.lite,2.5.1,August 24 2015,Tools
594,org.transdroid.lite,2.5.5,November 25 2015,Tools
595,org.transdroid.lite,2.5.7,May 21 2016,Tools
603,com.doplgangr.secrecy,alpha-4.0,September 28 2014,Tools
609,net.nurik.roman.muzei,1.0.1,March 03 2014,Personalization
612,com.soyblue.bluesound,1.4,April 06 2015,Tools
625,org.tint,1.8,January 07 2014,Communication
626,com.thibaudperso.sonycamera,2.0.2,February 11 2015,Video Players & Editors
628,com.thibaudperso.sonycamera,2.0.4,March 07 2016,Video Players & Editors
642,org.kde.necessitas.ministro,7.0,November 05 2012,Libraries & Demo
643,org.kde.necessitas.ministro,10.0,October 05 2014,Libraries & Demo
646,org.odk.collect.android,1.2.2,January 02 2013,Productivity
651,de.onyxbits.remotekeyboard,1.6,March 07 2014,Productivity
654,org.sipdroid.sipua,3.5 beta,May 17 2014,Communication
655,org.sipdroid.sipua,3.6 beta,December 03 2014,Communication
661,org.yuttadhammo.tipitaka,9.2,May 09 2014,Education
678,de.ub0r.android.smsdroid,1.5.1,October 20 2013,Communication
682,dev.ukanth.ufirewall,2.2.3,March 18 2016,Tools
684,dev.ukanth.ufirewall,2.5.2,August 14 2016,Tools
689,uk.org.ngo.squeezer,0.9.1,April 08 2013,Music & Audio
711,net.momodalo.app.vimtouch,2.3,March 30 2013,Tools
715,com.gulshansingh.hackerlivewallpaper,1.8.2,September 01 2015,Entertainment
729,com.duckduckgo.mobile.android,3.0.11,September 29 2015,Books & Reference
730,com.duckduckgo.mobile.android,3.0.12,February 06 2016,Books & Reference
731,ru.meefik.busybox,1.24.2,April 18 2016,Tools
734,com.totsp.crossword.shortyz,3.2.10,November 18 2013,Games
735,com.tmarki.comicmaker,1.5.4,February 14 2013,Comics
739,me.bpear.archonpackager,0.9.6,November 12 2014,Tools
750,com.vuze.android.remote,2.2.4,January 15 2015,Tools
751,com.vuze.android.remote,2.3.1,April 02 2016,Tools
752,com.ringdroid,2.6,October 11 2012,Video Players & Editors
753,com.ringdroid,2.7.2,June 08 2015,Video Players & Editors
754,com.ringdroid,2.7.3,June 24 2015,Video Players & Editors
757,com.mill_e.twitterwrapper,1.5.1,April 16 2015,Social
771,com.gpl.rpg.AndorsTrail,0.7.1,February 27 2014,Games
780,com.frostwire.android,1.0.7,April 22 2013,Video Players & Editors
783,org.tasks,4.9.4,August 12 2016,Productivity
789,com.google.android.apps.authenticator2,2.21,August 23 2012,Tools
796,com.vrem.wifianalyzer,1.5.7,August 25 2016,Tools
797,com.vrem.wifianalyzer,1.5.8,September 18 2016,Tools
799,com.shatteredpixel.shatteredpixeldungeon,0.4.0,June 24 2016,Games
800,com.shatteredpixel.shatteredpixeldungeon,0.4.1a,August 12 2016,Games
801,com.shatteredpixel.shatteredpixeldungeon,0.4.2a,September 15 2016,Games
805,com.darshancomputing.BatteryIndicator,9.0.1,April 15 2016,Tools
807,com.darshancomputing.BatteryIndicator,10.0.1-beta1,August 19 2016,Tools
834,com.owncloud.android,2.1.1,September 08 2016,Productivity
841,de.danoeh.antennapod,1.5.2.0,March 18 2016,Video Players & Editors
843,de.danoeh.antennapod,1.6.1.2,June 25 2016,Video Players & Editors
846,com.github.wdkapps.fillup,1.7.2,March 10 2015,Maps & Navigation
856,teaonly.droideye,1.6.1,June 15 2013,Video Players & Editors
857,teaonly.droideye,2.3,February 02 2015,Video Players & Editors
863,com.achep.acdisplay,3.8.4,August 02 2015,Personalization
866,com.eleybourn.bookcatalogue,5.0.7,June 05 2013,Productivity
867,eu.mrogalski.saidit,1.3.38,October 31 2014,Tools
872,com.angrydoughnuts.android.alarmclock,1.9,December 13 2013,Tools
873,com.angrydoughnuts.android.alarmclock,1.10,June 17 2016,Tools
876,com.adam.aslfms,1.5.0,August 26 2016,Music & Audio
888,com.nilhcem.hostseditor,1.4,January 02 2015,Tools
900,org.jsl.wfwt,1.10,June 02 2016,Communication
901,org.npr.android.news,2.4,July 31 2013,News & Magazines
912,com.gmail.jerickson314.sdscanner,1.11,February 16 2015,Tools
916,com.olam,1.0,November 04 2014,Books & Reference
919,de.ub0r.android.websms,4.7.1,October 20 2013,Communication
922,org.ppsspp.ppsspp,1.1.1.0,November 15 2015,Games
